Datum (MEZ),Preis [EUR/kWh],Last [kWh],Preis Forecast [EUR/kWh],tau
2020-05-01 08:00:00+01:00,-0.012150000000000001,96.7308,-0.010164724849932437,2020-05-01 04:00:00+01:00
2020-05-01 09:00:00+01:00,-0.014450000000000001,102.881,0.03417981625722874,2020-05-01 04:00:00+01:00
2020-05-01 10:00:00+01:00,-0.012350000000000002,106.0476,0.02330038773628055,2020-05-01 04:00:00+01:00
2020-05-01 11:00:00+01:00,0.00175,108.0668,0.04616719587700223,2020-05-01 04:00:00+01:00
2020-05-01 12:00:00+01:00,-0.0102,105.90039999999999,0.03754332295756467,2020-05-01 04:00:00+01:00
2020-05-01 13:00:00+01:00,-0.0103,99.8298,0.0715309813315028,2020-05-01 04:00:00+01:00
2020-05-01 14:00:00+01:00,-0.0002,99.023,0.0572437440385678,2020-05-01 04:00:00+01:00
2020-05-01 15:00:00+01:00,0.00975,96.482,-0.07105232664321912,2020-05-01 04:00:00+01:00
2020-05-01 16:00:00+01:00,0.0394,97.8192,0.047273984826144304,2020-05-01 04:00:00+01:00
2020-05-01 17:00:00+01:00,0.09495,100.5918,0.08099226901502374,2020-05-01 04:00:00+01:00
2020-05-01 18:00:00+01:00,0.1175,103.3238,0.25370542754482595,2020-05-01 04:00:00+01:00
2020-05-01 19:00:00+01:00,0.14215,101.3022,0.03299723079396631,2020-05-01 04:00:00+01:00
2020-05-01 20:00:00+01:00,0.1344,98.37360000000001,0.26534195304280617,2020-05-01 04:00:00+01:00
2020-05-01 21:00:00+01:00,0.10455,97.61160000000001,0.13397438741213444,2020-05-01 04:00:00+01:00
2020-05-01 22:00:00+01:00,0.08,90.367,0.2853369206708109,2020-05-01 04:00:00+01:00
2020-05-01 23:00:00+01:00,0.061,82.9468,0.19909344469109735,2020-05-01 04:00:00+01:00
2020-05-02 00:00:00+01:00,0.05,79.2734,-0.11100968631351006,2020-05-01 04:00:00+01:00
2020-05-02 01:00:00+01:00,0.05,77.13380000000001,-0.07758535036492507,2020-05-01 04:00:00+01:00
2020-05-02 02:00:00+01:00,0.04,76.4916,-0.18570857668696863,2020-05-01 04:00:00+01:00
2020-05-02 03:00:00+01:00,0.04,77.78280000000001,0.2909733181665445,2020-05-01 04:00:00+01:00
2020-05-01 05:00:00+01:00,0.012700000000000001,80.1044,0.0280486261218026,2020-05-01 05:00:00+01:00
2020-05-01 06:00:00+01:00,0.0075,82.4932,0.0012696894072953407,2020-05-01 05:00:00+01:00
2020-05-01 07:00:00+01:00,-0.00785,87.4278,-0.026931776237298005,2020-05-01 05:00:00+01:00
2020-05-01 08:00:00+01:00,-0.012150000000000001,96.7308,-0.031604772837200326,2020-05-01 05:00:00+01:00
2020-05-01 09:00:00+01:00,-0.014450000000000001,102.881,-0.0118876750841393,2020-05-01 05:00:00+01:00
2020-05-01 10:00:00+01:00,-0.012350000000000002,106.0476,-0.01112974411070971,2020-05-01 05:00:00+01:00
2020-05-01 11:00:00+01:00,0.00175,108.0668,0.03866098025725088,2020-05-01 05:00:00+01:00
2020-05-01 12:00:00+01:00,-0.0102,105.90039999999999,0.07683929427126703,2020-05-01 05:00:00+01:00
2020-05-01 13:00:00+01:00,-0.0103,99.8298,-0.027702660501377336,2020-05-01 05:00:00+01:00
2020-05-01 14:00:00+01:00,-0.0002,99.023,0.002960273573739222,2020-05-01 05:00:00+01:00
2020-05-01 15:00:00+01:00,0.00975,96.482,-0.09670347003055327,2020-05-01 05:00:00+01:00
2020-05-01 16:00:00+01:00,0.0394,97.8192,-0.0820733365510935,2020-05-01 05:00:00+01:00
2020-05-01 17:00:00+01:00,0.09495,100.5918,0.11323173468091981,2020-05-01 05:00:00+01:00
2020-05-01 18:00:00+01:00,0.1175,103.3238,-0.061788842734456645,2020-05-01 05:00:00+01:00
2020-05-01 19:00:00+01:00,0.14215,101.3022,0.14504894626721382,2020-05-01 05:00:00+01:00
2020-05-01 20:00:00+01:00,0.1344,98.37360000000001,0.10699478541635318,2020-05-01 05:00:00+01:00
2020-05-01 21:00:00+01:00,0.10455,97.61160000000001,0.15679630268255257,2020-05-01 05:00:00+01:00
2020-05-01 22:00:00+01:00,0.08,90.367,0.0208554583502759,2020-05-01 05:00:00+01:00
2020-05-01 23:00:00+01:00,0.061,82.9468,-0.099441539635995,2020-05-01 05:00:00+01:00
2020-05-02 00:00:00+01:00,0.05,79.2734,-0.02670838637990601,2020-05-01 05:00:00+01:00
2020-05-02 01:00:00+01:00,0.05,77.13380000000001,-0.08120775539326587,2020-05-01 05:00:00+01:00
2020-05-02 02:00:00+01:00,0.04,76.4916,-0.13856770118415132,2020-05-01 05:00:00+01:00
2020-05-02 03:00:00+01:00,0.04,77.78280000000001,0.28342667542156946,2020-05-01 05:00:00+01:00
2020-05-02 04:00:00+01:00,0.04,80.29480000000001,0.12031049985470124,2020-05-01 05:00:00+01:00
2020-05-01 06:00:00+01:00,0.0075,82.4932,0.01685710681629838,2020-05-01 06:00:00+01:00
2020-05-01 07:00:00+01:00,-0.00785,87.4278,0.02883199496893366,2020-05-01 06:00:00+01:00
2020-05-01 08:00:00+01:00,-0.012150000000000001,96.7308,-0.033313257161395826,2020-05-01 06:00:00+01:00
2020-05-01 09:00:00+01:00,-0.014450000000000001,102.881,0.005050976487359221,2020-05-01 06:00:00+01:00
2020-05-01 10:00:00+01:00,-0.012350000000000002,106.0476,-0.021988892650219354,2020-05-01 06:00:00+01:00
2020-05-01 11:00:00+01:00,0.00175,108.0668,0.00688459492612421,2020-05-01 06:00:00+01:00
2020-05-01 12:00:00+01:00,-0.0102,105.90039999999999,-0.03296448627455627,2020-05-01 06:00:00+01:00
2020-05-01 13:00:00+01:00,-0.0103,99.8298,-0.07849475775876176,2020-05-01 06:00:00+01:00
2020-05-01 14:00:00+01:00,-0.0002,99.023,-0.04937816065469675,2020-05-01 06:00:00+01:00
2020-05-01 15:00:00+01:00,0.00975,96.482,0.07136077179642658,2020-05-01 06:00:00+01:00
2020-05-01 16:00:00+01:00,0.0394,97.8192,0.035792317237146196,2020-05-01 06:00:00+01:00
2020-05-01 17:00:00+01:00,0.09495,100.5918,-0.011447046724942636,2020-05-01 06:00:00+01:00
2020-05-01 18:00:00+01:00,0.1175,103.3238,-0.05219147537172883,2020-05-01 06:00:00+01:00
2020-05-01 19:00:00+01:00,0.14215,101.3022,0.2432924388401712,2020-05-01 06:00:00+01:00
2020-05-01 20:00:00+01:00,0.1344,98.37360000000001,0.10762332746847264,2020-05-01 06:00:00+01:00
2020-05-01 21:00:00+01:00,0.10455,97.61160000000001,-0.11055480027280892,2020-05-01 06:00:00+01:00
2020-05-01 22:00:00+01:00,0.08,90.367,0.18891932704218584,2020-05-01 06:00:00+01:00
2020-05-01 23:00:00+01:00,0.061,82.9468,-0.02120847154981345,2020-05-01 06:00:00+01:00
2020-05-02 00:00:00+01:00,0.05,79.2734,-0.028976156352049226,2020-05-01 06:00:00+01:00
2020-05-02 01:00:00+01:00,0.05,77.13380000000001,0.09818385176808148,2020-05-01 06:00:00+01:00
2020-05-02 02:00:00+01:00,0.04,76.4916,-0.05052895993195725,2020-05-01 06:00:00+01:00
2020-05-02 03:00:00+01:00,0.04,77.78280000000001,0.186371149275888,2020-05-01 06:00:00+01:00
2020-05-02 04:00:00+01:00,0.04,80.29480000000001,0.043701551588363294,2020-05-01 06:00:00+01:00
2020-05-02 05:00:00+01:00,0.036,81.348,0.18852562902108574,2020-05-01 06:00:00+01:00
2020-05-01 07:00:00+01:00,-0.00785,87.4278,-0.03074566291010477,2020-05-01 07:00:00+01:00
2020-05-01 08:00:00+01:00,-0.012150000000000001,96.7308,0.006984212424603939,2020-05-01 07:00:00+01:00
2020-05-01 09:00:00+01:00,-0.014450000000000001,102.881,-0.0256831460767784,2020-05-01 07:00:00+01:00
2020-05-01 10:00:00+01:00,-0.012350000000000002,106.0476,0.04388242106599854,2020-05-01 07:00:00+01:00
2020-05-01 11:00:00+01:00,0.00175,108.0668,-0.024114243120161027,2020-05-01 07:00:00+01:00
2020-05-01 12:00:00+01:00,-0.0102,105.90039999999999,0.0069788185960835865,2020-05-01 07:00:00+01:00
2020-05-01 13:00:00+01:00,-0.0103,99.8298,-0.07303661815999013,2020-05-01 07:00:00+01:00
2020-05-01 14:00:00+01:00,-0.0002,99.023,0.04883932672151028,2020-05-01 07:00:00+01:00
2020-05-01 15:00:00+01:00,0.00975,96.482,-0.0008768962387757026,2020-05-01 07:00:00+01:00
2020-05-01 16:00:00+01:00,0.0394,97.8192,0.12546879966346838,2020-05-01 07:00:00+01:00
2020-05-01 17:00:00+01:00,0.09495,100.5918,0.22011401417418272,2020-05-01 07:00:00+01:00
2020-05-01 18:00:00+01:00,0.1175,103.3238,0.13418409411173837,2020-05-01 07:00:00+01:00
2020-05-01 19:00:00+01:00,0.14215,101.3022,0.07958342025736344,2020-05-01 07:00:00+01:00
2020-05-01 20:00:00+01:00,0.1344,98.37360000000001,0.22908505247108119,2020-05-01 07:00:00+01:00
2020-05-01 21:00:00+01:00,0.10455,97.61160000000001,0.15215212160759164,2020-05-01 07:00:00+01:00
2020-05-01 22:00:00+01:00,0.08,90.367,0.02110941309875059,2020-05-01 07:00:00+01:00
2020-05-01 23:00:00+01:00,0.061,82.9468,0.10902054320554083,2020-05-01 07:00:00+01:00
2020-05-02 00:00:00+01:00,0.05,79.2734,-0.023955679088328588,2020-05-01 07:00:00+01:00
2020-05-02 01:00:00+01:00,0.05,77.13380000000001,0.0003879520709190315,2020-05-01 07:00:00+01:00
2020-05-02 02:00:00+01:00,0.04,76.4916,0.0016135755001634097,2020-05-01 07:00:00+01:00
2020-05-02 03:00:00+01:00,0.04,77.78280000000001,-0.11188106579673815,2020-05-01 07:00:00+01:00
2020-05-02 04:00:00+01:00,0.04,80.29480000000001,0.2433579263043349,2020-05-01 07:00:00+01:00
2020-05-02 05:00:00+01:00,0.036,81.348,-0.21854207701715803,2020-05-01 07:00:00+01:00
2020-05-02 06:00:00+01:00,0.04,86.4352,-0.0642277873049498,2020-05-01 07:00:00+01:00
2020-05-01 08:00:00+01:00,-0.012150000000000001,96.7308,-0.008202718374610084,2020-05-01 08:00:00+01:00
2020-05-01 09:00:00+01:00,-0.014450000000000001,102.881,-0.010378349196868808,2020-05-01 08:00:00+01:00
2020-05-01 10:00:00+01:00,-0.012350000000000002,106.0476,-0.027554683137065637,2020-05-01 08:00:00+01:00
2020-05-01 11:00:00+01:00,0.00175,108.0668,-0.0035569923935267625,2020-05-01 08:00:00+01:00
2020-05-01 12:00:00+01:00,-0.0102,105.90039999999999,-0.05197448922442405,2020-05-01 08:00:00+01:00
2020-05-01 13:00:00+01:00,-0.0103,99.8298,-0.004244715114886494,2020-05-01 08:00:00+01:00
2020-05-01 14:00:00+01:00,-0.0002,99.023,-0.01895546083279417,2020-05-01 08:00:00+01:00
2020-05-01 15:00:00+01:00,0.00975,96.482,0.06149543911652577,2020-05-01 08:00:00+01:00
2020-05-01 16:00:00+01:00,0.0394,97.8192,0.08999876765701031,2020-05-01 08:00:00+01:00
2020-05-01 17:00:00+01:00,0.09495,100.5918,0.08317696703043881,2020-05-01 08:00:00+01:00
2020-05-01 18:00:00+01:00,0.1175,103.3238,0.06070150391131598,2020-05-01 08:00:00+01:00
2020-05-01 19:00:00+01:00,0.14215,101.3022,0.3509600388674362,2020-05-01 08:00:00+01:00
2020-05-01 20:00:00+01:00,0.1344,98.37360000000001,0.14193128932103188,2020-05-01 08:00:00+01:00
2020-05-01 21:00:00+01:00,0.10455,97.61160000000001,0.09803845253712125,2020-05-01 08:00:00+01:00
2020-05-01 22:00:00+01:00,0.08,90.367,0.20122137316553407,2020-05-01 08:00:00+01:00
2020-05-01 23:00:00+01:00,0.061,82.9468,0.29753889390357174,2020-05-01 08:00:00+01:00
2020-05-02 00:00:00+01:00,0.05,79.2734,0.08939549851961331,2020-05-01 08:00:00+01:00
2020-05-02 01:00:00+01:00,0.05,77.13380000000001,-0.09997336348404863,2020-05-01 08:00:00+01:00
